scene_id,im_id,obj_id,score,R,t,time
51,681,01,0.9996904134750366,0.7490918040275574  0.649648129940033  0.12968795001506805  0.3644116222858429  -0.24060413241386414  -0.8996186852455139  -0.5532320737838745  0.7211567163467407  -0.4169738292694092,106.08343780040741  42.11260750889778  1016.1370038986206,-1
48,2133,01,0.11826638132333755,0.38323935866355896  0.9157510995864868  0.12052948772907257  -0.3689042627811432  0.032123737037181854  0.9289119839668274  0.8467804789543152  -0.40045949816703796  0.3501356244087219,76.15677267313004  -4.370352253317833  841.6610956192017,-1
55,22,01,0.8755414485931396,-0.057983338832855225  -0.9969159364700317  -0.05288561433553696  -0.5133284330368042  0.07520786672830582  -0.8548905253410339  0.8562312722206116  -0.02242172136902809  -0.5161060094833374,94.96285766363144  111.43271625041962  946.3670253753662,-1
55,100,01,0.9249001741409302,0.4936152398586273  -0.8694116473197937  0.021619975566864014  -0.3973224461078644  -0.2475571632385254  -0.8836573362350464  0.7736141085624695  0.4275966286659241  -0.46763476729393005,87.18933910131454  106.23972862958908  961.7461562156677,-1
55,1025,01,0.9554867744445801,-0.9942155480384827  -0.08551168441772461  0.06498603522777557  -0.09603513032197952  0.43686410784721375  -0.894386351108551  0.04809042066335678  -0.895453691482544  -0.4425491988658905,149.52737092971802  82.63547718524933  1006.8799257278442,-1
55,603,01,0.9644248485565186,-0.9836752414703369  -0.1788463294506073  0.01992650516331196  -0.0967174544930458  0.43205562233924866  -0.8966457843780518  0.15175242722034454  -0.8839355707168579  -0.4422999620437622,108.46263915300369  90.77324718236923  1079.9192190170288,-1
55,793,01,0.9795111417770386,-0.9854066967964172  -0.1676662713289261  0.029356181621551514  -0.1010744720697403  0.4375987946987152  -0.8934715986251831  0.1369587928056717  -0.8833999633789062  -0.44815951585769653,186.87742948532104  114.58190530538559  1074.3284225463867,-1
55,512,01,0.9032716751098633,-0.731582522392273  -0.6809108257293701  -0.03387517109513283  -0.28486233949661255  0.350448340177536  -0.8922104239463806  0.6193872690200806  -0.6430758237838745  -0.4503477215766907,138.79035413265228  94.0704271197319  1062.8598928451538,-1
56,128,01,0.9986390471458435,-0.9365119338035583  0.3489744961261749  0.03409106284379959  0.1087198331952095  0.3814385235309601  -0.9179785251617432  -0.33335474133491516  -0.855991542339325  -0.3951622247695923,-44.3919338285923  7.934315130114555  880.2136182785034,-1
48,2104,01,0.15246990323066711,0.8219963312149048  0.5564284324645996  0.12128271162509918  -0.24417561292648315  0.151956245303154  0.9577513933181763  0.5144903659820557  -0.8168824315071106  0.2607736885547638,70.40278613567352  -5.824374035000801  866.5995597839355,-1
